(-360.00, 0.00, 120.00) (0.00018, 0.70711, -0.00018, 0.70711)	(-359.50, 0.55, 120.00) (0.00018, 0.70711, -0.00018, 0.70711)	(-358.56, 0.32, 120.71) (-0.00257, 0.70710, 0.00257, 0.70710)	(-358.56, 0.32, 119.29) (-0.00262, 0.70710, 0.00262, 0.70710)	(-359.95, 0.00, 120.00) (0.00020, 0.70696, -0.00020, 0.70726)	
(-359.45, 0.55, 120.00) (0.00020, 0.70696, -0.00020, 0.70726)	(-358.51, 0.32, 120.71) (0.03119, 0.70627, -0.03117, 0.70657)	(-358.51, 0.32, 119.29) (0.10450, 0.69920, -0.10446, 0.69949)	(-359.79, 0.00, 120.00) (0.00020, 0.70691, -0.00020, 0.70731)	
(-359.29, 0.55, 120.00) (0.00020, 0.70691, -0.00020, 0.70731)	(-358.34, 0.32, 120.71) (0.24235, 0.66412, -0.24221, 0.66449)	(-358.34, 0.32, 119.29) (0.32915, 0.62570, -0.32896, 0.62605)	(-359.43, 0.00, 120.00) (0.00020, 0.70691, -0.00020, 0.70731)	
(-358.93, 0.55, 120.00) (0.00020, 0.70691, -0.00020, 0.70731)	(-357.98, 0.32, 120.71) (0.59158, 0.38748, -0.59125, 0.38770)	(-357.98, 0.32, 119.29) (0.63401, 0.31338, -0.63365, 0.31355)	(-358.94, 0.00, 120.00) (0.00020, 0.70691, -0.00020, 0.70731)	
(-358.44, 0.55, 120.00) (0.00020, 0.70691, -0.00020, 0.70731)	(-357.50, 0.32, 120.71) (0.68454, -0.17792, -0.68415, -0.17802)	(-357.50, 0.32, 119.29) (0.65808, -0.25911, -0.65771, -0.25925)	(-358.32, 0.00, 120.00) (0.00020, 0.70691, -0.00020, 0.70731)	
(-357.82, 0.55, 120.00) (0.00020, 0.70691, -0.00020, 0.70731)	(-356.88, 0.32, 120.71) (0.17869, -0.68397, -0.17859, -0.68436)	(-356.88, 0.32, 119.29) (0.09488, -0.70052, -0.09483, -0.70092)	(-357.57, 0.00, 120.00) (0.00020, 0.70691, -0.00020, 0.70731)	
(-357.07, 0.55, 120.00) (0.00020, 0.70691, -0.00020, 0.70731)	(-356.13, 0.32, 120.71) (-0.60494, -0.36631, 0.60459, -0.36652)	(-356.13, 0.32, 119.29) (-0.64471, -0.29075, 0.64435, -0.29091)	(-356.71, 0.00, 120.00) (0.00020, 0.70691, -0.00020, 0.70731)	
(-356.21, 0.55, 120.00) (0.00020, 0.70691, -0.00020, 0.70731)	(-355.26, 0.32, 120.71) (-0.41576, 0.57189, 0.41552, 0.57221)	(-355.26, 0.32, 119.29) (-0.34374, 0.61781, 0.34354, 0.61816)	(-355.61, 0.00, 120.00) (0.00023, 0.70691, -0.00023, 0.70731)	
(-355.11, 0.55, 120.00) (0.00023, 0.70691, -0.00023, 0.70731)	(-354.17, 0.32, 120.71) (0.69384, 0.13727, -0.69345, 0.13735)	(-354.17, 0.32, 119.29) (0.70534, 0.05267, -0.70494, 0.05270)	(-354.48, 0.00, 120.02) (0.00020, 0.70324, -0.00021, 0.71095)	
(-353.98, 0.55, 120.03) (0.00020, 0.70324, -0.00021, 0.71095)	(-353.04, 0.32, 120.75) (-0.34129, -0.61413, 0.33344, -0.62863)	(-353.03, 0.32, 119.33) (-0.42435, -0.56255, 0.41459, -0.57583)	(-353.20, 0.00, 120.05) (0.00021, 0.70115, -0.00021, 0.71301)	
(-352.70, 0.55, 120.05) (0.00021, 0.70115, -0.00021, 0.71301)	(-351.77, 0.32, 120.78) (-0.19670, 0.67394, 0.19343, 0.68534)	(-351.75, 0.32, 119.36) (-0.07909, 0.69682, 0.07777, 0.70861)	(-351.80, 0.00, 120.13) (0.00019, 0.68916, -0.00022, 0.72461)	
(-351.30, 0.55, 120.15) (0.10640, 0.68090, 0.11145, 0.71599)	(-350.39, 0.32, 120.91) (0.62212, -0.37459, -0.44321, -0.52556)	(-350.32, 0.32, 119.49) (0.50403, -0.45590, -0.35904, -0.63969)	(-350.19, 0.00, 120.51) (0.00018, 0.63003, -0.00026, 0.77657)	
(-349.70, 0.55, 120.61) (0.15638, 0.61032, 0.19230, 0.75238)	(-348.93, 0.32, 121.50) (0.85188, -0.14616, -0.38707, -0.32111)	(-348.63, 0.32, 120.11) (0.57158, -0.32219, -0.25958, -0.70860)	(-348.74, 0.00, 121.17) (0.00020, 0.55578, -0.00024, 0.83133)	
(-348.28, 0.55, 121.36) (0.04938, 0.55358, 0.07333, 0.82809)	(-347.68, 0.32, 122.38) (-0.87983, -0.04596, 0.46495, -0.08729)	(-347.14, 0.32, 121.06) (-0.57476, 0.35513, 0.30360, 0.67183)	(-347.19, 0.00, 121.96) (0.00024, 0.51979, -0.00018, 0.85430)	
(-346.75, 0.55, 122.19) (0.00024, 0.51979, -0.00018, 0.85430)	(-346.24, 0.32, 123.25) (0.82288, 0.13965, -0.50067, 0.22958)	(-345.58, 0.32, 121.99) (0.52989, -0.40774, -0.32237, -0.67011)	(-345.34, 0.00, 122.83) (0.00026, 0.53028, -0.00014, 0.84782)	
(-344.89, 0.55, 123.05) (-0.08062, 0.52412, -0.12944, 0.83788)	(-344.35, 0.32, 124.10) (-0.74735, 0.12090, 0.63776, 0.14185)	(-343.73, 0.32, 122.83) (-0.19095, 0.62830, 0.16308, 0.73634)	(-343.49, 0.00, 123.41) (0.00029, 0.59389, -0.00011, 0.80455)	
(-343.01, 0.55, 123.56) (-0.15343, 0.57373, -0.20834, 0.77710)	(-342.32, 0.32, 124.52) (0.54023, -0.38994, -0.67769, -0.31118)	(-341.90, 0.32, 123.16) (0.14681, -0.75980, -0.18447, -0.60591)	(-341.54, 0.00, 123.64) (0.00031, 0.67700, -0.00011, 0.73599)	
(-341.04, 0.55, 123.68) (-0.17492, 0.65401, -0.19059, 0.71088)	(-340.16, 0.32, 124.47) (0.29990, -0.69942, -0.47314, -0.44387)	(-340.05, 0.32, 123.05) (0.12216, -0.82206, -0.19304, -0.52157)	(-339.56, 0.00, 123.45) (0.00030, 0.75972, -0.00013, 0.65026)	
(-339.07, 0.55, 123.37) (-0.13660, 0.74733, -0.11731, 0.63959)	(-338.03, 0.32, 123.93) (0.01387, 0.87258, -0.02431, 0.48766)	(-338.24, 0.32, 122.53) (-0.06066, 0.86609, 0.10904, 0.48407)	(-337.37, 0.00, 122.81) (0.00026, 0.82763, -0.00018, 0.56127)	
(-336.90, 0.55, 122.63) (-0.01724, 0.82745, -0.01205, 0.56114)	(-335.77, 0.32, 122.94) (-0.50238, -0.30535, 0.78502, -0.19524)	(-336.29, 0.32, 121.62) (-0.25380, -0.74320, 0.39642, -0.47549)	(-335.32, 0.00, 122.03) (0.00021, 0.84368, -0.00022, 0.53684)	
(-334.87, 0.55, 121.82) (0.06960, 0.84081, 0.04394, 0.53504)	(-333.71, 0.32, 122.06) (0.54394, -0.33580, -0.72677, -0.25134)	(-334.31, 0.32, 120.77) (0.54138, 0.34314, -0.72333, 0.25681)	(-333.15, 0.00, 121.30) (0.00014, 0.81577, -0.00027, 0.57837)	
(-332.68, 0.55, 121.13) (0.20136, 0.79053, 0.14241, 0.56057)	(-331.55, 0.32, 121.49) (0.32179, -0.59558, -0.28157, -0.68004)	(-332.02, 0.32, 120.15) (0.67590, -0.28952, -0.59175, -0.33040)	(-330.87, 0.00, 120.87) (0.00011, 0.75375, -0.00030, 0.65717)	
(-330.38, 0.55, 120.80) (0.19519, 0.72803, 0.16980, 0.63485)	(-329.35, 0.32, 121.37) (0.07512, 0.55566, -0.05081, 0.82645)	(-329.54, 0.32, 119.97) (-0.13393, 0.55071, 0.08975, 0.81898)	(-328.31, 0.00, 120.85) (0.00013, 0.66841, -0.00031, 0.74379)	
(-327.82, 0.55, 120.90) (0.17312, 0.64560, 0.19221, 0.71853)	(-326.95, 0.32, 121.71) (-0.69552, -0.28319, 0.35373, -0.55761)	(-326.80, 0.32, 120.30) (-0.81843, -0.17932, 0.41613, -0.35334)	(-326.02, 0.00, 121.27) (0.00016, 0.58312, -0.00029, 0.81239)	
(-325.55, 0.55, 121.43) (0.09762, 0.57489, 0.13550, 0.80101)	(-324.88, 0.32, 122.40) (0.87858, 0.09580, -0.42327, 0.19941)	(-324.43, 0.32, 121.06) (0.77816, -0.21893, -0.37470, -0.45402)	(-323.83, 0.00, 122.09) (0.00019, 0.49458, -0.00026, 0.86913)	
(-323.40, 0.55, 122.35) (0.00330, 0.49457, 0.00519, 0.86912)	(-322.95, 0.32, 123.44) (0.79058, -0.20760, -0.43743, -0.37488)	(-322.22, 0.32, 122.22) (-0.12442, -0.47925, 0.06901, -0.86607)	(-321.66, 0.00, 123.21) (0.00022, 0.44715, -0.00022, 0.89446)	
(-321.26, 0.55, 123.51) (-0.03260, 0.44596, -0.06587, 0.89203)	(-320.93, 0.32, 124.64) (-0.12669, 0.50114, 0.07438, 0.85281)	(-320.08, 0.32, 123.50) (0.85146, 0.07952, -0.50035, 0.13543)	(-319.46, 0.00, 124.43) (0.00025, 0.47863, -0.00015, 0.87802)	
(-319.04, 0.55, 124.70) (-0.11191, 0.46536, -0.20590, 0.85353)	(-318.63, 0.32, 125.81) (-0.68082, -0.27921, 0.59800, -0.31768)	(-317.86, 0.32, 124.61) (-0.40799, 0.55410, 0.35853, 0.63085)	(-316.88, 0.00, 125.52) (0.00030, 0.57857, -0.00009, 0.81563)	
(-316.41, 0.55, 125.68) (-0.14945, 0.55894, -0.21118, 0.78782)	(-315.75, 0.32, 126.67) (0.11855, -0.75649, -0.14342, -0.62698)	(-315.28, 0.32, 125.33) (0.43641, 0.56198, -0.52632, 0.46552)	(-314.40, 0.00, 126.12) (0.00032, 0.66984, -0.00009, 0.74251)	
(-313.90, 0.55, 126.17) (-0.17306, 0.64709, -0.19227, 0.71718)	(-313.04, 0.32, 126.97) (-0.46854, -0.42649, 0.72273, -0.27611)	(-312.89, 0.32, 125.56) (-0.54141, -0.07977, 0.83539, -0.05137)	(-311.62, 0.00, 126.31) (0.00030, 0.75499, -0.00014, 0.65573)	
(-311.12, 0.55, 126.24) (-0.19511, 0.72935, -0.16985, 0.63335)	(-310.09, 0.32, 126.81) (0.27750, -0.69512, -0.57007, -0.33885)	(-310.29, 0.32, 125.41) (0.30560, -0.64355, -0.62771, -0.31375)	(-309.14, 0.00, 126.07) (0.00029, 0.81754, -0.00017, 0.57587)	
(-308.66, 0.55, 125.90) (-0.21132, 0.78976, -0.14921, 0.55620)	(-307.54, 0.32, 126.25) (0.02297, 0.93670, -0.06178, 0.34388)	(-308.02, 0.32, 124.91) (-0.15249, 0.84151, 0.41603, 0.30908)	(-306.76, 0.00, 125.44) (0.00027, 0.86876, -0.00019, 0.49523)	
(-306.33, 0.55, 125.18) (0.01459, 0.86864, 0.00797, 0.49517)	(-305.15, 0.32, 125.31) (0.41329, 0.44771, -0.75408, 0.24518)	(-305.88, 0.32, 124.09) (0.03548, 0.87460, -0.06444, 0.47923)	(-304.45, 0.00, 124.51) (0.00021, 0.89243, -0.00022, 0.45118)	
(-304.04, 0.55, 124.22) (0.15342, 0.87915, 0.07723, 0.44452)	(-302.86, 0.32, 124.23) (-0.42693, 0.55429, 0.59239, 0.39946)	(-303.71, 0.32, 123.09) (-0.51676, -0.37948, 0.71705, -0.27349)	(-302.10, 0.00, 123.56) (0.00016, 0.85757, -0.00025, 0.51437)	
(-301.66, 0.55, 123.33) (0.22211, 0.82831, 0.13288, 0.49691)	(-300.49, 0.32, 123.51) (-0.22540, -0.66010, 0.21820, -0.68253)	(-301.16, 0.32, 122.25) (0.43600, -0.55284, -0.42156, -0.57145)	(-299.65, 0.00, 122.86) (0.00010, 0.77826, -0.00030, 0.62795)	
(-299.17, 0.55, 122.76) (0.20152, 0.75171, 0.16223, 0.60663)	(-298.09, 0.32, 123.25) (0.76956, 0.17923, -0.56129, 0.24617)	(-298.39, 0.32, 121.86) (0.61576, 0.38126, -0.44923, 0.52314)	(-297.13, 0.00, 122.57) (0.00012, 0.68066, -0.00031, 0.73260)	
(-296.63, 0.55, 122.61) (0.16152, 0.66122, 0.17342, 0.71177)	(-295.74, 0.32, 123.39) (0.82858, -0.16109, -0.44473, -0.29951)	(-295.64, 0.32, 121.97) (0.74183, -0.25546, -0.39810, -0.47534)	(-294.37, 0.00, 122.74) (0.00017, 0.55743, -0.00029, 0.83022)	
(-293.91, 0.55, 122.93) (0.04422, 0.55567, 0.06532, 0.82765)	(-293.30, 0.32, 123.94) (-0.15537, 0.47749, 0.08600, 0.86050)	(-292.76, 0.32, 122.63) (0.61253, 0.34609, -0.34002, 0.62403)	(-291.88, 0.00, 123.25) (0.00022, 0.45363, -0.00022, 0.89119)	
(-291.48, 0.55, 123.55) (-0.07067, 0.44809, -0.13948, 0.88021)	(-291.13, 0.32, 124.67) (-0.53053, -0.43831, 0.37404, -0.62171)	(-290.30, 0.32, 123.53) (-0.62374, 0.37235, 0.43975, 0.52813)	(-289.12, 0.00, 123.98) (0.00025, 0.42308, -0.00017, 0.90609)	
(-288.74, 0.55, 124.30) (-0.10926, 0.40873, -0.23468, 0.87517)	(-288.47, 0.32, 125.45) (0.53707, -0.45834, -0.45121, -0.54579)	(-287.56, 0.32, 124.36) (0.63714, 0.35687, -0.53508, 0.42473)	(-286.60, 0.00, 124.72) (0.00024, 0.50156, -0.00019, 0.86512)	
(-286.17, 0.55, 124.96) (-0.12959, 0.48453, -0.22409, 0.83560)	(-285.70, 0.32, 126.05) (-0.61084, -0.35507, 0.61297, -0.35365)	(-285.00, 0.32, 124.82) (-0.44369, 0.55083, 0.44541, 0.54894)	(-284.00, 0.00, 125.31) (0.00028, 0.63912, -0.00013, 0.76910)	
