0,1
RB6
STEER_HR
SolOn
SagOn
START
(-360.00, 0.00, 120.00) (0.00008, 0.70712, -0.00008, 0.70709)	(-359.50, 0.55, 120.00) (0.00008, 0.70712, -0.00008, 0.70709)	(-358.55, 0.33, 120.71) (0.01078, 0.70704, -0.01078, 0.70701)	(-358.55, 0.33, 119.29) (0.01127, 0.70703, -0.01127, 0.70700)	0,002125361
(-359.97, 0.01, 120.00) (0.00001, 0.70711, -0.00001, 0.70710)	(-359.47, 0.56, 120.00) (0.00001, 0.70711, -0.00001, 0.70710)	(-358.53, 0.33, 120.71) (0.03970, 0.70599, -0.03970, 0.70599)	(-358.53, 0.33, 119.29) (0.04202, 0.70586, -0.04202, 0.70586)	0,004735784
(-359.90, 0.01, 120.00) (-0.00017, 0.70711, 0.00017, 0.70710)	(-359.40, 0.56, 120.00) (-0.00017, 0.70711, 0.00017, 0.70710)	(-358.46, 0.33, 120.71) (0.11955, 0.69693, -0.11955, 0.69693)	(-358.46, 0.33, 119.29) (0.12184, 0.69653, -0.12184, 0.69653)	0,01075813
(-359.78, 0.01, 120.00) (-0.00036, 0.70711, 0.00036, 0.70710)	(-359.28, 0.56, 120.00) (-0.00036, 0.70711, 0.00036, 0.70710)	(-358.33, 0.33, 120.71) (0.27255, 0.65247, -0.27255, 0.65247)	(-358.33, 0.33, 119.29) (0.27469, 0.65157, -0.27469, 0.65157)	0,02054191
(-359.53, 0.01, 120.00) (-0.00052, 0.70711, 0.00052, 0.70710)	(-359.03, 0.56, 120.00) (-0.00052, 0.70711, 0.00052, 0.70710)	(-358.09, 0.33, 120.71) (0.52737, 0.47104, -0.52737, 0.47104)	(-358.09, 0.33, 119.29) (0.52891, 0.46931, -0.52892, 0.46930)	0,02853622
(-359.25, 0.01, 120.00) (-0.00052, 0.70711, 0.00052, 0.70710)	(-358.75, 0.56, 120.00) (-0.00052, 0.70711, 0.00052, 0.70710)	(-357.81, 0.33, 120.71) (0.68789, 0.16372, -0.68789, 0.16372)	(-357.81, 0.33, 119.29) (0.68843, 0.16146, -0.68843, 0.16146)	0,03645378
(-358.92, 0.01, 120.00) (-0.00050, 0.70711, 0.00050, 0.70710)	(-358.42, 0.56, 120.00) (-0.00050, 0.70711, 0.00050, 0.70710)	(-357.47, 0.33, 120.71) (0.65820, -0.25839, -0.65821, -0.25839)	(-357.47, 0.33, 119.29) (0.65735, -0.26055, -0.65736, -0.26055)	0,04362428
(-358.51, 0.01, 120.00) (-0.00050, 0.70711, 0.00050, 0.70710)	(-358.01, 0.56, 120.00) (-0.00050, 0.70711, 0.00050, 0.70710)	(-357.07, 0.33, 120.71) (0.31754, -0.63180, -0.31754, -0.63180)	(-357.07, 0.33, 119.29) (0.31546, -0.63284, -0.31546, -0.63284)	0,05116192
(-358.05, 0.01, 120.00) (-0.00050, 0.70711, 0.00050, 0.70710)	(-357.55, 0.56, 120.00) (-0.00050, 0.70711, 0.00050, 0.70710)	(-356.60, 0.33, 120.71) (-0.25986, -0.65763, 0.25986, -0.65762)	(-356.60, 0.33, 119.29) (-0.26202, -0.65677, 0.26203, -0.65677)	0,05814894
(-357.41, 0.01, 120.00) (-0.00047, 0.70711, 0.00047, 0.70710)	(-356.91, 0.57, 120.00) (-0.00047, 0.70711, 0.00047, 0.70710)	(-355.96, 0.33, 120.71) (-0.70652, -0.02876, 0.70652, -0.02876)	(-355.96, 0.33, 119.29) (-0.70661, -0.02643, 0.70661, -0.02643)	0,0658586
