(-360.00, 0.00, 120.00) (0.00017, 0.70711, -0.00017, 0.70711)	(-359.50, 0.55, 120.00) (0.00017, 0.70711, -0.00017, 0.70711)	(-358.56, 0.32, 120.71) (0.00017, 0.70711, -0.00017, 0.70711)	(-358.56, 0.32, 119.29) (0.00017, 0.70711, -0.00017, 0.70711)	
(-359.98, 0.00, 120.00) (0.00020, 0.70713, -0.00020, 0.70709)	(-359.48, 0.55, 120.00) (0.00020, 0.70713, -0.00020, 0.70709)	(-358.54, 0.32, 120.71) (0.02063, 0.70682, -0.02063, 0.70679)	(-358.54, 0.32, 119.29) (0.01410, 0.70698, -0.01410, 0.70695)	
(-359.84, 0.00, 120.00) (0.00020, 0.70710, -0.00020, 0.70711)	(-359.34, 0.55, 120.00) (0.00020, 0.70710, -0.00020, 0.70711)	(-358.40, 0.32, 120.71) (0.21597, 0.67331, -0.21596, 0.67333)	(-358.40, 0.32, 119.29) (0.20108, 0.67791, -0.20108, 0.67792)	
(-359.45, 0.00, 120.00) (0.00020, 0.70705, -0.00020, 0.70716)	(-358.95, 0.55, 120.00) (0.01274, 0.70694, 0.01235, 0.70705)	(-358.00, 0.32, 120.71) (0.62117, 0.34587, -0.60799, 0.35337)	(-358.00, 0.32, 119.29) (0.61310, 0.35939, -0.60009, 0.36719)	
(-358.86, 0.00, 120.05) (0.00018, 0.69648, -0.00021, 0.71758)	(-358.36, 0.55, 120.07) (0.12689, 0.68482, 0.13034, 0.70564)	(-357.44, 0.32, 120.81) (0.71201, -0.28627, -0.48260, -0.42212)	(-357.39, 0.32, 119.39) (0.69290, -0.30707, -0.46963, -0.45281)	
(-358.02, 0.00, 120.31) (0.00017, 0.65305, -0.00023, 0.75731)	(-357.53, 0.55, 120.39) (0.16919, 0.63075, 0.19579, 0.73157)	(-356.70, 0.32, 121.23) (-0.45790, -0.37430, 0.22128, -0.77541)	(-356.49, 0.32, 119.82) (-0.66953, -0.29063, 0.32343, -0.60221)	
(-357.12, 0.00, 120.77) (0.00022, 0.59051, -0.00025, 0.80703)	(-356.65, 0.55, 120.93) (0.15305, 0.57033, 0.20863, 0.77960)	(-355.96, 0.32, 121.89) (-0.66503, 0.25355, 0.25769, 0.65349)	(-355.53, 0.32, 120.53) (-0.13125, 0.35795, 0.05065, 0.92308)	
(-355.99, 0.00, 121.47) (0.00023, 0.52905, -0.00016, 0.84859)	(-355.54, 0.55, 121.69) (-0.05065, 0.52662, -0.08177, 0.84464)	(-355.01, 0.32, 122.75) (0.78678, -0.10276, -0.59314, -0.13637)	(-354.38, 0.32, 121.47) (0.35368, -0.53969, -0.26667, -0.71592)	
(-354.73, 0.00, 122.00) (0.00028, 0.54700, -0.00012, 0.83713)	(-354.27, 0.55, 122.20) (-0.14014, 0.52875, -0.21499, 0.80905)	(-353.69, 0.32, 123.23) (-0.59084, -0.36444, 0.63508, -0.33877)	(-353.12, 0.32, 121.93) (-0.64077, 0.24787, 0.68899, 0.23080)	
(-353.17, 0.00, 122.29) (0.00029, 0.62246, -0.00011, 0.78266)	(-352.68, 0.55, 122.40) (-0.16082, 0.60132, -0.20267, 0.75596)	(-351.92, 0.32, 123.31) (0.50178, 0.43208, -0.67781, 0.31953)	(-351.60, 0.32, 121.92) (0.59178, 0.08246, -0.79957, 0.06073)	
