0,2
RB6
STEER_HR
SolOn
SagOn
START
(-360.00, 0.00, 120.00) (0.00017, 0.70711, -0.00017, 0.70711)	(-359.50, 0.55, 120.00) (0.00017, 0.70711, -0.00017, 0.70711)	(-358.56, 0.32, 120.71) (0.00017, 0.70711, -0.00017, 0.70711)	(-358.56, 0.32, 119.29) (0.00017, 0.70711, -0.00017, 0.70711)	
(-360.00, 0.00, 120.00) (0.00021, 0.70711, -0.00021, 0.70711)	(-359.50, 0.55, 120.00) (0.00021, 0.70711, -0.00021, 0.70711)	(-358.56, 0.32, 120.71) (-0.00307, 0.70710, 0.00307, 0.70710)	(-358.56, 0.32, 119.29) (-0.00307, 0.70710, 0.00307, 0.70710)	
(-359.95, 0.00, 120.00) (0.00020, 0.70709, -0.00020, 0.70712)	(-359.45, 0.55, 120.00) (0.00020, 0.70709, -0.00020, 0.70712)	(-358.50, 0.32, 120.71) (0.07790, 0.70279, -0.07789, 0.70282)	(-358.50, 0.32, 119.29) (0.09166, 0.70113, -0.09166, 0.70115)	
(-359.74, 0.00, 120.00) (0.00020, 0.70715, -0.00020, 0.70707)	(-359.24, 0.55, 120.00) (0.00020, 0.70715, -0.00020, 0.70707)	(-358.30, 0.32, 120.71) (0.38748, 0.59151, -0.38752, 0.59144)	(-358.30, 0.32, 119.29) (0.34364, 0.61801, -0.34368, 0.61794)	
(-359.36, 0.00, 120.00) (0.00020, 0.70803, -0.00020, 0.70618)	(-358.86, 0.55, 119.99) (-0.05277, 0.70606, -0.05303, 0.70419)	(-357.91, 0.32, 120.70) (0.63276, 0.21979, -0.71672, 0.19399)	(-357.91, 0.32, 119.28) (0.61569, 0.27506, -0.69737, 0.24278)	
(-358.77, 0.00, 119.90) (0.00022, 0.72527, -0.00019, 0.68847)	(-358.27, 0.55, 119.87) (-0.17059, 0.70492, -0.16232, 0.66906)	(-357.29, 0.32, 120.53) (0.34801, -0.62376, -0.59834, -0.36305)	(-357.36, 0.32, 119.12) (0.40858, -0.50372, -0.70239, -0.29323)	
(-358.11, 0.00, 119.72) (0.00020, 0.74944, -0.00020, 0.66207)	(-357.61, 0.55, 119.66) (0.00813, 0.74940, 0.00681, 0.66203)	(-356.59, 0.32, 120.25) (-0.35148, -0.63783, 0.40604, -0.55206)	(-356.76, 0.32, 118.84) (-0.13683, -0.73940, 0.15805, -0.63999)	
(-357.28, 0.00, 119.65) (0.00016, 0.74273, -0.00023, 0.66959)	(-356.79, 0.55, 119.60) (0.12787, 0.73164, 0.11490, 0.65966)	(-355.78, 0.32, 120.20) (-0.71481, 0.24965, 0.57489, 0.31019)	(-355.92, 0.32, 118.79) (-0.77635, 0.05384, 0.62444, 0.06674)	
(-356.27, 0.00, 119.80) (0.00016, 0.69831, -0.00025, 0.71579)	(-355.77, 0.55, 119.81) (0.18089, 0.67448, 0.18502, 0.69147)	(-354.84, 0.32, 120.54) (0.47341, 0.41078, -0.26577, 0.73247)	(-354.81, 0.32, 119.12) (0.43262, 0.42471, -0.24290, 0.75728)	
(-355.27, 0.00, 120.15) (0.00018, 0.63632, -0.00024, 0.77142)	(-354.78, 0.55, 120.25) (0.16487, 0.61459, 0.19943, 0.74520)	(-353.99, 0.32, 121.13) (0.48014, -0.35261, -0.21880, -0.77283)	(-353.72, 0.32, 119.73) (0.35755, -0.38168, -0.16287, -0.83663)	
(-354.09, 0.00, 120.76) (0.00022, 0.56720, -0.00020, 0.82358)	(-353.62, 0.55, 120.94) (-0.03739, 0.56596, -0.05481, 0.82176)	(-352.99, 0.32, 121.93) (-0.75217, 0.18280, 0.58842, 0.23367)	(-352.49, 0.32, 120.61) (-0.57156, 0.42394, 0.44713, 0.54192)	
(-352.86, 0.00, 121.21) (0.00027, 0.57082, -0.00014, 0.82108)	(-352.39, 0.55, 121.38) (-0.13079, 0.55563, -0.18864, 0.79911)	(-351.75, 0.32, 122.38) (0.58599, 0.37277, -0.63082, 0.34601)	(-351.26, 0.32, 121.05) (0.67783, 0.06528, -0.72982, 0.06040)	
(-351.49, 0.00, 121.42) (0.00029, 0.62861, -0.00012, 0.77772)	(-351.00, 0.55, 121.53) (-0.16242, 0.60726, -0.20141, 0.75119)	(-350.23, 0.32, 122.42) (0.29187, 0.70224, -0.40062, 0.51105)	(-349.93, 0.32, 121.03) (0.35866, 0.64123, -0.49240, 0.46661)	
(-349.89, 0.00, 121.30) (0.00029, 0.71577, -0.00014, 0.69834)	(-349.39, 0.55, 121.28) (-0.18498, 0.69146, -0.18088, 0.67450)	(-348.43, 0.32, 121.97) (-0.27422, -0.72256, 0.48837, -0.40522)	(-348.47, 0.32, 120.55) (-0.13995, -0.83583, 0.24898, -0.46884)	
